pid,year,team,leag,ppg,rpg,apg
FARBMPH01,1948,PH1,N,3.074074074,0,0.666666667

FARBMPH01,1948,TOT,N,3.229166667,0,0.75

FARBMPH01,1948,BOS,N,3.428571429,0,0.857142857

FEERIBO01,1948,WSC,N,12.96551724,0,3.24137931

FERRIAR01,1948,MIE,N,7.340425532,0,1.617021277

FITZGBO01,1948,ROC,N,1.055555556,0,0.666666667

FLEISJE01,1948,PH1,N,5.474576271,0,2.033898305

FORMADO01,1948,MIE,N,4.068181818,0,1.681818182

FULKSJO01,1948,PH1,N,26,0,1.233333333

GALLAHA01,1948,NYK,N,8.346153846,0,1.211538462

GARDNEA01,1948,MIE,N,1.78,0,0.38

GARFIJA01,1948,BOS,N,3.777777778,0,1.888888889

GILMUCH01,1948,CH1,N,5.107142857,0,2.232142857

GLAMAGE01,1948,INJ,N,9.272727273,0,1.727272727

GRABOJO01,1948,CH1,N,2.777777778,0,0.4

GUNTHCO01,1948,ST1,N,4.96875,0,1.03125

HALBECH01,1948,PRO,N,11.40740741,0,1.925925926

HALBECH01,1948,TOT,N,10.3,0,1.883333333

HALBECH01,1948,BOS,N,9.393939394,0,1.848484848

HALEBR01,1948,FTW,N,9.411764706,0,2.558823529

HALEBR01,1948,TOT,N,10.5,0,3

HALEBR01,1948,INJ,N,12.55555556,0,3.833333333

HAMILRA01,1948,FTW,N,4.2,0,0.3

HAMILRA01,1948,TOT,N,6.020833333,0,1.729166667

HAMILRA01,1948,INJ,N,6.5,0,2.105263158

HAZENJO01,1948,BOS,N,3,0,0.5

HENRYBI01,1948,FTW,N,9.90625,0,1.71875

HERMSCL01,1948,WSC,N,11.8,0,1.65

HERTZSI01,1948,WSC,N,7.366666667,0,1.9

HOLCODO01,1948,BA1,N,5,0,1.666666667

HOLZMRE01,1948,ROC,N,9.1,0,2.483333333

HUBBABO01,1948,PRO,N,2.117647059,0,0.529411765

JAMESGE01,1948,NYK,N,3.818181818,0,0.454545455

JAROSTO01,1948,MIE,N,5.813559322,0,0.983050847

JEANNBU01,1948,BA1,N,5.589285714,0,2.214285714

JOHNSAR01,1948,ROC,N,8.516666667,0,1.333333333

JORGEJO01,1948,MIE,N,2.208333333,0,0.6875

KACHAED01,1948,MIE,N,2.473684211,0,0.631578947

KACHAED01,1948,CH1,N,1.96969697,0,0.757575758

KACHAED01,1948,TOT,N,2.153846154,0,0.711538462

KAFTAGE01,1948,BOS,N,14.47619048,0,2.904761905

KATKALE01,1948,WSC,N,4.169811321,0,1.283018868

KELLYTO01,1948,BOS,N,7.074074074,0,1.407407407

KINNEBO01,1948,FTW,N,6.864864865,0,1.378378378

KINNEBO01,1948,TOT,N,7.896551724,0,1.327586207

KINNEBO01,1948,BOS,N,9.714285714,0,1.238095238

KIRKWA01,1948,TOT,N,9.12244898,0,2.408163265

KIRKWA01,1948,INJ,N,10.8,0,3.028571429

KIRKWA01,1948,FTW,N,4.928571429,0,0.857142857

KLIERLE01,1948,FTW,N,7.382978723,0,1.191489362

KNORELE01,1948,NYK,N,7.383333333,0,2.25

KOSTEAN01,1948,INJ,N,6.428571429,0,0.666666667

KRAUSDA01,1948,BA1,N,1.615384615,0,0.538461538

KRAUTHE01,1948,BA1,N,1.3,0,0.4

KUKARA01,1948,NYK,N,3.125,0,1.375

LEVANAN01,1948,ROC,N,3.416666667,0,1.083333333

LEWISFR02,1948,INJ,N,9.875,0,2.375

LEWISFR02,1948,BA1,N,11.37735849,0,1.660377358

LEWISFR02,1948,TOT,N,11.18032787,0,1.754098361

LEWISGR01,1948,ST1,N,4.352941176,0,1.088235294

LOGANJO01,1948,ST1,N,14.0877193,0,4.842105263

LUCASAL01,1948,BOS,N,0,0,1

LUMPPRA01,1948,NYK,N,13.5,0,1.416666667

LUMPPRA01,1948,TOT,N,12.73770492,0,2.590163934

LUMPPRA01,1948,INJ,N,12.24324324,0,3.351351351

MADDOJA01,1948,INJ,N,0,0,1

MAHNKJO01,1948,BA1,N,7.571428571,0,1.285714286

MAHNKJO01,1948,INJ,N,10,0,2.615384615

MAHNKJO01,1948,FTW,N,9.486486486,0,2.216216216

MAHNKJO01,1948,TOT,N,9.368421053,0,2.192982456

MALAMLI01,1948,TOT,N,5.863636364,0,1.386363636

MALAMLI01,1948,ROC,N,3.333333333,0,0.666666667

MALAMLI01,1948,INJ,N,6.514285714,0,1.571428571

MANDIJO01,1948,INJ,N,4.803571429,0,1.428571429

MARTIDO01,1948,BA1,N,0,0,0.571428571

